,id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,market_cap_dominance,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,1d,30d,platform_currency,first_priced_at
0,BTC,BTC,BTC,Bitcoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/btc.svg,active,37826.90240597,2022-02-11T00:00:00Z,2022-02-11T02:10:00Z,18954368,21000000,716985028503,0.4037,408,85131,6838,2011-08-18T00:00:00Z,2011-08-18T00:00:00Z,2017-01-06T00:00:00Z,1,0,58436.11913501,2021-11-08T00:00:00Z,"{'volume': '39888694239.64', 'price_change': '-594.89123192', 'price_change_pct': '-0.0155', 'volume_change': '14742353693.17', 'volume_change_pct': '0.5863', 'market_cap_change': '-11239555578.44', 'market_cap_change_pct': '-0.0154'}","{'volume': '845688945828.05', 'price_change': '-625.98209004', 'price_change_pct': '-0.0163', 'volume_change': '-91370852607.10', 'volume_change_pct': '-0.0975', 'market_cap_change': '-10792759306.06', 'market_cap_change_pct': '-0.0148'}",,
1,ETH,ETH,ETH,Ethereum,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/eth.svg,active,2676.73225824,2022-02-11T00:00:00Z,2022-02-11T02:10:00Z,119530063,0,319949976462,0.1802,441,78414,58702,2015-08-07T00:00:00Z,2015-08-07T00:00:00Z,2018-08-29T00:00:00Z,2,0,4159.36282543,2021-11-08T00:00:00Z,"{'volume': '25629229067.44', 'price_change': '-117.99137484', 'price_change_pct': '-0.0422', 'volume_change': '7999373644.13', 'volume_change_pct': '0.4537', 'market_cap_change': '-14065781106.03', 'market_cap_change_pct': '-0.0421'}","{'volume': '598401210441.96', 'price_change': '-276.86672885', 'price_change_pct': '-0.0937', 'volume_change': '-38049002235.87', 'volume_change_pct': '-0.0598', 'market_cap_change': '-31892295491.57', 'market_cap_change_pct': '-0.0906'}",ETH,
2,USDT,USDT,USDT,Tether,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/usdt.svg,active,0.87762552,2022-02-11T00:00:00Z,2022-02-11T02:10:00Z,78385451173,0,68793072633,0.0387,385,72062,24679,2013-12-27T00:00:00Z,2013-12-27T00:00:00Z,2018-08-29T00:00:00Z,3,0,0.97148261,2015-11-04T00:00:00Z,"{'volume': '80134237200.90', 'price_change': '0.00065216471', 'price_change_pct': '0.0007', 'volume_change': '18687107958.37', 'volume_change_pct': '0.3041', 'market_cap_change': '358937921.25', 'market_cap_change_pct': '0.0052'}","{'volume': '1948715841360.21', 'price_change': '0.0020412856', 'price_change_pct': '0.0023', 'volume_change': '-315560832805.66', 'volume_change_pct': '-0.1394', 'market_cap_change': '155000381.56', 'market_cap_change_pct': '0.0023'}",ETH,
3,BNB,BNB,BNB,Binance Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/bnb.svg,active,361.99858103,2022-02-11T00:00:00Z,2022-02-11T02:10:00Z,168137036,168137036,60865368415,0.0343,180,17558,804137,2017-07-14T00:00:00Z,2017-07-14T00:00:00Z,2018-08-29T00:00:00Z,4,0,572.21444090,2021-11-25T00:00:00Z,"{'volume': '2027620547.01', 'price_change': '-3.74118193', 'price_change_pct': '-0.0102', 'volume_change': '486327322.49', 'volume_change_pct': '0.3155', 'market_cap_change': '-629031240.14', 'market_cap_change_pct': '-0.0102'}","{'volume': '62992674044.60', 'price_change': '-65.72906716', 'price_change_pct': '-0.1537', 'volume_change': '-1533694497.12', 'volume_change_pct': '-0.0238', 'market_cap_change': '-11051490524.45', 'market_cap_change_pct': '-0.1537'}",BNB,
4,USDC,USDC,USDC,USD Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/usdc.svg,active,0.87696925,2022-02-11T00:00:00Z,2022-02-11T02:10:00Z,52086157455,52087669136,45677958575,0.0257,234,6608,7862,2018-09-27T00:00:00Z,2018-09-27T00:00:00Z,2018-10-26T00:00:00Z,5,0,0.93949237,2020-03-20T00:00:00Z,"{'volume': '4850036350.94', 'price_change': '0.00075480968', 'price_change_pct': '0.0009', 'volume_change': '1009022954.66', 'volume_change_pct': '0.2627', 'market_cap_change': '236461698.99', 'market_cap_change_pct': '0.0052'}","{'volume': '121749621160.62', 'price_change': '0.0017580661', 'price_change_pct': '0.0020', 'volume_change': '28711293332.02', 'volume_change_pct': '0.3086', 'market_cap_change': '7049213325.59', 'market_cap_change_pct': '0.1825'}",ETH,
5,XRP,XRP,XRP,XRP,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/XRP.svg,active,0.71913604,2022-02-11T00:00:00Z,2022-02-11T02:10:00Z,47832461678,100000000000,34398046884,0.0194,271,2467,101,2013-05-09T00:00:00Z,2013-05-09T00:00:00Z,2018-08-29T00:00:00Z,6,0,2.28961925,2018-01-07T00:00:00Z,"{'volume': '3010141579.33', 'price_change': '-0.032140009', 'price_change_pct': '-0.0428', 'volume_change': '-617161104.71', 'volume_change_pct': '-0.1701', 'market_cap_change': '-1537335755.57', 'market_cap_change_pct': '-0.0428'}","{'volume': '57146921958.25', 'price_change': '0.019824932', 'price_change_pct': '0.0283', 'volume_change': '-9007047912.11', 'volume_change_pct': '-0.1362', 'market_cap_change': '1126784003.05', 'market_cap_change_pct': '0.0339'}",,
6,ADA,ADA,ADA,Cardano,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ada.svg,active,0.99643935,2022-02-11T00:00:00Z,2022-02-11T02:10:00Z,32066390668,45000000000,31952213449,0.0180,138,687,2,2017-10-01T00:00:00Z,2017-11-22T00:00:00Z,2018-08-29T00:00:00Z,7,0,2.50105703,2021-09-02T00:00:00Z,"{'volume': '1548731096.07', 'price_change': '-0.033208823', 'price_change_pct': '-0.0323', 'volume_change': '377560835.16', 'volume_change_pct': '0.3224', 'market_cap_change': '-1064887076.48', 'market_cap_change_pct': '-0.0323'}","{'volume': '57718055397.43', 'price_change': '-0.15314896', 'price_change_pct': '-0.1332', 'volume_change': '16234655335.40', 'volume_change_pct': '0.3914', 'market_cap_change': '-4910934527.29', 'market_cap_change_pct': '-0.1332'}",,
7,SOL,SOL,SOL,Solana,https://nomics-api.s3.us-east-2.amazonaws.com/static/images/currencies/SOL2.jpg,active,92.00268192,2022-02-11T00:00:00Z,2022-02-11T02:10:00Z,317630644,508180964,29222871105,0.0165,106,2342,438,2020-04-07T00:00:00Z,2020-04-10T00:00:00Z,2020-04-07T00:00:00Z,8,0,224.22326234,2021-11-06T00:00:00Z,"{'volume': '2548094256.60', 'price_change': '-5.56584976', 'price_change_pct': '-0.0570', 'volume_change': '344037398.84', 'volume_change_pct': '0.1561', 'market_cap_change': '-1751712206.35', 'market_cap_change_pct': '-0.0566'}","{'volume': '81836613859.06', 'price_change': '-40.68963520', 'price_change_pct': '-0.3066', 'volume_change': '14296132200.39', 'volume_change_pct': '0.2117', 'market_cap_change': '-12147796202.24', 'market_cap_change_pct': '-0.2936'}",SOL,
8,HEX,HEX,HEX,HEX,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/HEX.png,active,0.18364053,2022-02-11T00:00:00Z,2022-02-11T02:09:00Z,135878864447,638446781434,24952866985,0.0141,35,101,8,2019-12-13T00:00:00Z,2020-05-18T00:00:00Z,2020-03-11T00:00:00Z,9,0,0.41546341,2021-09-18T00:00:00Z,"{'volume': '11098778.07', 'price_change': '0.0010484105', 'price_change_pct': '0.0057', 'volume_change': '-6003246.49', 'volume_change_pct': '-0.3510', 'market_cap_change': '137193966.91', 'market_cap_change_pct': '0.0055'}","{'volume': '435354367.52', 'price_change': '-0.015048912', 'price_change_pct': '-0.0757', 'volume_change': '-446162737.78', 'volume_change_pct': '-0.5061', 'market_cap_change': '-1971240436.00', 'market_cap_change_pct': '-0.0732'}",ETH,
9,AVAX,AVAX,AVAX,Avalanche,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AVAX.svg,active,79.26134748,2022-02-11T00:00:00Z,2022-02-11T02:10:00Z,245278733,397417607,19441122876,0.0109,82,1414,10802,2020-07-08T00:00:00Z,2020-07-22T00:00:00Z,2020-07-08T00:00:00Z,10,2,120.11078032,2021-11-22T00:00:00Z,"{'volume': '1861027274.11', 'price_change': '1.53195480', 'price_change_pct': '0.0197', 'volume_change': '512405562.59', 'volume_change_pct': '0.3799', 'market_cap_change': '375208266.12', 'market_cap_change_pct': '0.0197'}","{'volume': '36795381143.60', 'price_change': '-4.74573954', 'price_change_pct': '-0.0565', 'volume_change': '-14390891102.43', 'volume_change_pct': '-0.2811', 'market_cap_change': '-1082443880.39', 'market_cap_change_pct': '-0.0527'}",AVAX,
